date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:14	2118/2118	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Apr%202004%2007:25:12%20GMT	dinosaur.compilertools.net/robots.txt		(from )
10:25:25	9713/9713	---M--	200	added ('OK')	text/html	etag:%221774f23-25f1-3f310cbe%22	dinosaur.compilertools.net/	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/index.html	(from )
10:25:33	56690/56690	---M--	200	added ('OK')	text/html	etag:%22120cf0c-dd72-3f310d59%22	dinosaur.compilertools.net/lex/index.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/lex/index.html	(from dinosaur.compilertools.net/)
10:25:36	1980/1980	---M--	200	added ('OK')	text/html	etag:%221eb8f27-7bc-3f310d53%22	dinosaur.compilertools.net/flex/index.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/index.html	(from dinosaur.compilertools.net/)
10:25:43	137928/137928	---M--	200	added ('OK')	application/postscript	etag:%22120cf0d-21ac8-3f310d5c%22	dinosaur.compilertools.net/lex/lex.ps	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/lex/lex.ps	(from dinosaur.compilertools.net/)
10:25:50	193283/193283	---M--	200	added ('OK')	application/postscript	etag:%221aecf0e-2f303-3f310d63%22	dinosaur.compilertools.net/yacc/yacc.ps	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/yacc/yacc.ps	(from dinosaur.compilertools.net/)
10:25:52	88182/88182	---M--	200	added ('OK')	text/html	etag:%221aecf0d-15876-3f310d60%22	dinosaur.compilertools.net/yacc/index.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/yacc/index.html	(from dinosaur.compilertools.net/)
10:25:58	7731/7731	---M--	200	added ('OK')	text/html	etag:%221774f1d-1e33-3f310cfb%22	dinosaur.compilertools.net/bison/index.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/bison/index.html	(from dinosaur.compilertools.net/)
10:25:59	113500/113500	---M--	200	added ('OK')	text/html	etag:%221eb8f28-1bb5c-3f310d56%22	dinosaur.compilertools.net/flex/manpage.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/manpage.html	(from dinosaur.compilertools.net/)
10:26:03	3407/3407	---M--	200	added ('OK')	image/gif	etag:%221774f1f-d4f-3f310cb8%22	dinosaur.compilertools.net/birds.gif	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/birds.gif	(from dinosaur.compilertools.net/)
