date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:14	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2001%20May%202004%2013:15:47%20GMT	www.cs.bath.ac.uk/robots.txt		(from )
16:14:15	2763/2763	---M--	200	added ('OK')	text/html	date:Sat,%2001%20May%202004%2013:15:47%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/_jpff/CM20029/index.html	(from )
16:14:16	148/148	---M--	200	added ('OK')	image/gif	etag:%223774c-94-d94f4080%22	www.cs.bath.ac.uk/icons/blank.gif	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/icons/blank.gif	(from www.cs.bath.ac.uk/~jpff/CM20029/)
16:14:16	2763/2763	---M--	200	added ('OK')	text/html	date:Sat,%2001%20May%202004%2013:15:49%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/?C=M&O=A	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/_jpff/CM20029/indexa950.html	(from www.cs.bath.ac.uk/~jpff/CM20029/)
16:14:17	2763/2763	---M--	200	added ('OK')	text/html	date:Sat,%2001%20May%202004%2013:15:49%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/?C=S&O=A	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/_jpff/CM20029/indexb478.html	(from www.cs.bath.ac.uk/~jpff/CM20029/)
16:14:18	216/216	---M--	200	added ('OK')	image/gif	etag:%2237747-d8-d93ffe40%22	www.cs.bath.ac.uk/icons/back.gif	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/icons/back.gif	(from www.cs.bath.ac.uk/~jpff/CM20029/)
16:14:18	238/238	---M--	200	added ('OK')	image/gif	etag:%2237759-ee-d9d894c0%22	www.cs.bath.ac.uk/icons/dvi.gif	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/icons/dvi.gif	(from www.cs.bath.ac.uk/~jpff/CM20029/)
16:14:18	2763/2763	---M--	200	added ('OK')	text/html	date:Sat,%2001%20May%202004%2013:15:51%20GMT	www.cs.bath.ac.uk/~jpff/CM20029/?C=D&O=A	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/_jpff/CM20029/indexd114.html	(from www.cs.bath.ac.uk/~jpff/CM20029/)
16:14:19	276/276	---M--	200	added ('OK')	image/gif	etag:%2237769-114-da436480%22	www.cs.bath.ac.uk/icons/layout.gif	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/icons/layout.gif	(from www.cs.bath.ac.uk/~jpff/CM20029/)
16:14:20	5880/5880	---M--	200	added ('OK')	application/x-dvi	etag:%2276e31-16f8-64bbd7c0%22	www.cs.bath.ac.uk/~jpff/CM20029/Ass1_2004.dvi	C:/My%20Web%20Sites/abeer%20lex/www.cs.bath.ac.uk/_jpff/CM20029/Ass1_2004.dvi	(from www.cs.bath.ac.uk/~jpff/CM20029/)
